
--------------------------------------------------------------------------------


Problem title: basalt_h2O                                                                                                                                                        

Thermodynamic data base from: Holland & Powell, JMG 2011 (TC-DS62, 20:08 Feb 6, 2012)                         

Fluid equation of state: X(CO2) H2O-CO2 Modified Redlich-Kwong (MRK) DeSantis et al 74  

Independently constrained potentials:

   T(K)     P(bar)  

Components with unconstrained potentials:

   SiO2    TiO2    Al2O3   FeO     MgO     CaO     Na2O    K2O     H2O  

Phases and (projected) compositions:

            SiO2    TiO2    Al2O3   FeO     MgO     CaO     Na2O    K2O     H2O  
   fo        0.333   0.000   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   fa        0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   lrn       0.333   0.000   0.000   0.000   0.000   0.667   0.000   0.000   0.000
   mont      0.333   0.000   0.000   0.000   0.333   0.333   0.000   0.000   0.000
   chum      0.286   0.000   0.000   0.000   0.643   0.000   0.000   0.000   0.071
   chdr      0.250   0.000   0.000   0.000   0.625   0.000   0.000   0.000   0.125
   mwd       0.333   0.000   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   fwd       0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   mrw       0.333   0.000   0.000   0.000   0.667   0.000   0.000   0.000   0.000
   frw       0.333   0.000   0.000   0.667   0.000   0.000   0.000   0.000   0.000
   mpv       0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   fpv       0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   apv       0.000   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000
   cpv       0.500   0.000   0.000   0.000   0.000   0.500   0.000   0.000   0.000
   mak       0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   fak       0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   maj       0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   py        0.429   0.000   0.143   0.000   0.429   0.000   0.000   0.000   0.000
   alm       0.429   0.000   0.143   0.429   0.000   0.000   0.000   0.000   0.000
   gr        0.429   0.000   0.143   0.000   0.000   0.429   0.000   0.000   0.000
   osma      0.667   0.000   0.167   0.000   0.133   0.000   0.000   0.033   0.000
   osmm      0.688   0.000   0.094   0.000   0.188   0.000   0.000   0.031   0.000
   osfa      0.667   0.000   0.167   0.133   0.000   0.000   0.000   0.033   0.000
   vsv       0.367   0.000   0.112   0.000   0.041   0.388   0.000   0.000   0.092
   and       0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000   0.000
   ky        0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000   0.000
   sill      0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000   0.000
   smul      0.500   0.000   0.500   0.000   0.000   0.000   0.000   0.000   0.000
   amul      0.286   0.000   0.714   0.000   0.000   0.000   0.000   0.000   0.000
   tpz       0.333   0.000   0.333   0.000   0.000   0.000   0.000   0.000   0.333
   mst       0.333   0.000   0.400   0.000   0.178   0.000   0.000   0.000   0.089
   fst       0.333   0.000   0.400   0.178   0.000   0.000   0.000   0.000   0.089
   mctd      0.250   0.000   0.250   0.000   0.250   0.000   0.000   0.000   0.250
   fctd      0.250   0.000   0.250   0.250   0.000   0.000   0.000   0.000   0.250
   merw      0.333   0.000   0.000   0.000   0.167   0.500   0.000   0.000   0.000
   zo        0.429   0.000   0.214   0.000   0.000   0.286   0.000   0.000   0.071
   cz        0.429   0.000   0.214   0.000   0.000   0.286   0.000   0.000   0.071
   law       0.333   0.000   0.167   0.000   0.000   0.167   0.000   0.000   0.333
   mpm       0.353   0.000   0.147   0.000   0.059   0.235   0.000   0.000   0.206
   fpm       0.353   0.000   0.147   0.059   0.000   0.235   0.000   0.000   0.206
   geh       0.250   0.000   0.250   0.000   0.000   0.500   0.000   0.000   0.000
   ak        0.400   0.000   0.000   0.000   0.200   0.400   0.000   0.000   0.000
   rnk       0.400   0.000   0.000   0.000   0.000   0.600   0.000   0.000   0.000
   crd       0.556   0.000   0.222   0.000   0.222   0.000   0.000   0.000   0.000
   hcrd      0.500   0.000   0.200   0.000   0.200   0.000   0.000   0.000   0.100
   fcrd      0.556   0.000   0.222   0.222   0.000   0.000   0.000   0.000   0.000
   phA       0.167   0.000   0.000   0.000   0.583   0.000   0.000   0.000   0.250
   sph       0.333   0.333   0.000   0.000   0.000   0.333   0.000   0.000   0.000
   cstn      0.667   0.000   0.000   0.000   0.000   0.333   0.000   0.000   0.000
   en        0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   pren      0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   cen       0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   hen       0.500   0.000   0.000   0.000   0.500   0.000   0.000   0.000   0.000
   fs        0.500   0.000   0.000   0.500   0.000   0.000   0.000   0.000   0.000
   mgts      0.333   0.000   0.333   0.000   0.333   0.000   0.000   0.000   0.000
   di        0.500   0.000   0.000   0.000   0.250   0.250   0.000   0.000   0.000
   hed       0.500   0.000   0.000   0.250   0.000   0.250   0.000   0.000   0.000
   jd        0.667   0.000   0.167   0.000   0.000   0.000   0.167   0.000   0.000
   cats      0.333   0.000   0.333   0.000   0.000   0.333   0.000   0.000   0.000
   caes      0.667   0.000   0.167   0.000   0.000   0.167   0.000   0.000   0.000
   wo        0.500   0.000   0.000   0.000   0.000   0.500   0.000   0.000   0.000
   pswo      0.500   0.000   0.000   0.000   0.000   0.500   0.000   0.000   0.000
   wal       0.500   0.000   0.000   0.000   0.000   0.500   0.000   0.000   0.000
   tr        0.500   0.000   0.000   0.000   0.312   0.125   0.000   0.000   0.062
   ftr       0.500   0.000   0.000   0.312   0.000   0.125   0.000   0.000   0.062
   fgl       0.571   0.000   0.071   0.214   0.000   0.000   0.071   0.000   0.071
